ImageId,Label
200000,2
200001,6
200002,6
200003,6
200004,6
200005,6
200006,2
200007,2
200008,6
200009,8
200010,6
200011,8
200012,2
200013,6
200014,8
200015,6
200016,8
200017,8
200018,6
200019,8
200020,6
200021,8
200022,2
200023,8
200024,6
200025,8
200026,2
200027,8
200028,6
200029,8
200030,8
200031,2
200032,8
200033,8
200034,8
200035,6
200036,8
200037,8
200038,2
200039,6
200040,6
200041,6
200042,2
200043,8
200044,6
200045,6
200046,6
200047,8
200048,8
200049,8
200050,2
200051,2
200052,8
200053,8
200054,8
200055,6
200056,2
200057,6
200058,8
200059,6
200060,6
200061,2
200062,2
200063,8
200064,8
200065,6
200066,2
200067,8
200068,8
200069,2
200070,6
200071,8
200072,8
200073,6
200074,2
200075,6
200076,8
200077,6
200078,2
200079,8
200080,8
200081,6
200082,8
200083,8
200084,6
200085,2
200086,6
200087,8
200088,6
200089,6
200090,8
200091,8
200092,8
200093,8
200094,2
200095,8
200096,8
200097,8
200098,8
200099,6
200100,6
200101,8
200102,8
200103,2
200104,6
200105,2
200106,8
200107,6
200108,6
200109,8
200110,6
200111,2
200112,8
200113,6
200114,8
200115,8
200116,2
200117,8
200118,6
200119,2
200120,8
200121,6
200122,2
200123,6
200124,6
200125,8
200126,6
200127,8
200128,8
200129,8
200130,6
200131,6
200132,8
200133,2
200134,6
200135,8
200136,6
200137,8
200138,6
200139,6
200140,6
200141,6
200142,2
200143,6
200144,2
200145,6
200146,8
200147,6
200148,8
200149,8
200150,2
200151,6
200152,8
200153,2
200154,6
200155,8
200156,8
200157,8
200158,8
200159,8
200160,8
200161,6
200162,8
200163,8
200164,8
200165,8
200166,8
200167,6
200168,8
200169,2
200170,2
200171,8
200172,6
200173,6
200174,6
200175,2
200176,6
200177,2
200178,8
200179,6
200180,2
200181,6
200182,6
200183,8
200184,8
200185,8
200186,6
200187,8
200188,6
200189,6
200190,8
200191,8
200192,2
200193,6
200194,2
200195,2
200196,2
200197,8
200198,6
200199,8
200200,6
200201,8
200202,6
200203,2
200204,8
200205,8
200206,6
200207,8
200208,8
200209,8
200210,2
200211,6
200212,6
200213,2
200214,8
200215,2
200216,6
200217,8
200218,6
200219,8
200220,6
200221,6
200222,6
200223,2
200224,2
200225,8
200226,8
200227,8
200228,8
200229,8
200230,6
200231,2
200232,9
200233,8
200234,8
200235,2
200236,2
200237,6
200238,6
200239,6
200240,6
200241,6
200242,8
200243,8
200244,8
200245,6
200246,6
200247,2
200248,6
200249,8
200250,8
200251,8
200252,2
200253,6
200254,6
200255,8
200256,8
200257,8
200258,2
200259,8
200260,8
200261,8
200262,8
200263,2
200264,2
200265,2
200266,6
200267,6
200268,8
200269,2
200270,8
200271,6
200272,6
200273,2
200274,2
200275,6
200276,6
200277,8
200278,8
200279,6
200280,8
200281,8
200282,2
200283,8
200284,6
200285,6
200286,8
200287,2
200288,8
200289,2
200290,2
200291,8
200292,2
200293,2
200294,6
200295,2
200296,6
200297,6
200298,6
200299,6
200300,8
200301,6
200302,8
200303,8
200304,8
200305,6
200306,8
200307,2
200308,8
200309,2
200310,8
200311,8
200312,6
200313,6
200314,2
200315,6
200316,8
200317,6
200318,8
200319,8
200320,2
200321,8
200322,8
200323,6
200324,2
200325,8
200326,2
200327,8
200328,2
200329,6
200330,8
200331,6
200332,8
200333,6
200334,6
200335,6
200336,2
200337,2
200338,6
200339,8
200340,8
200341,2
200342,8
200343,8
200344,6
200345,6
200346,6
200347,6
200348,6
200349,8
200350,2
200351,6
200352,8
200353,6
200354,8
200355,6
200356,8
200357,6
200358,6
200359,8
200360,8
200361,8
200362,2
200363,2
200364,8
200365,8
200366,8
200367,8
200368,2
200369,6
200370,8
200371,8
200372,8
200373,8
200374,8
200375,6
200376,8
200377,6
200378,8
200379,9
200380,6
200381,2
200382,2
200383,8
200384,8
200385,8
200386,6
200387,2
200388,6
200389,6
200390,8
200391,6
200392,6
200393,2
200394,8
200395,8
200396,8
200397,6
200398,6
200399,2
200400,8
200401,6
200402,6
200403,6
200404,8
200405,6
200406,8
200407,6
200408,2
200409,6
200410,8
200411,6
200412,8
200413,6
200414,2
200415,2
200416,6
200417,6
200418,6
200419,8
200420,6
200421,8
200422,6
200423,8
200424,8
200425,6
200426,6
200427,8
200428,8
200429,6
200430,8
200431,6
200432,2
200433,8
200434,8
200435,6
200436,6
200437,6
200438,8
200439,6
200440,6
200441,8
200442,6
200443,6
200444,8
200445,8
200446,6
200447,2
200448,8
200449,6
200450,6
200451,6
200452,2
200453,8
200454,6
200455,6
200456,6
200457,8
200458,6
200459,6
200460,6
200461,8
200462,2
200463,8
200464,8
200465,6
200466,2
200467,6
200468,6
200469,2
200470,6
200471,8
200472,6
200473,8
200474,6
200475,6
200476,8
200477,8
200478,6
200479,6
200480,8
200481,8
200482,8
200483,9
200484,2
200485,8
200486,8
200487,2
200488,9
200489,2
200490,8
200491,6
200492,6
200493,6
200494,8
200495,6
200496,6
200497,8
200498,2
200499,8
200500,6
200501,6
200502,6
200503,2
200504,2
200505,6
200506,2
200507,6
200508,2
200509,8
200510,8
200511,8
200512,6
200513,6
200514,2
200515,6
200516,8
200517,8
200518,2
200519,6
200520,6
200521,8
200522,6
200523,8
200524,6
200525,6
200526,8
200527,6
200528,8
200529,8
200530,2
200531,8
200532,2
200533,8
200534,8
200535,8
200536,2
200537,8
200538,2
200539,8
200540,2
200541,8
200542,8
200543,8
200544,8
200545,6
200546,8
200547,6
200548,8
200549,8
200550,2
200551,6
200552,8
200553,8
200554,8
200555,6
200556,6
200557,2
200558,6
200559,8
200560,6
200561,2
200562,8
200563,8
200564,8
200565,8
200566,8
200567,6
200568,2
200569,8
200570,8
200571,6
200572,8
200573,6
200574,8
200575,8
200576,8
200577,8
200578,8
200579,6
200580,2
200581,8
200582,2
200583,8
200584,6
200585,8
200586,6
200587,6
200588,6
200589,6
200590,8
200591,8
200592,6
200593,6
200594,8
200595,6
200596,2
200597,8
200598,8
200599,6
200600,8
200601,6
200602,8
200603,2
200604,8
200605,6
200606,8
200607,2
200608,6
200609,2
200610,8
200611,6
200612,6
200613,2
200614,6
200615,8
200616,6
200617,2
200618,6
200619,8
200620,8
200621,6
200622,8
200623,8
200624,6
200625,8
200626,8
200627,8
200628,2
200629,8
200630,8
200631,2
200632,8
200633,8
200634,2
200635,6
200636,8
200637,8
200638,2
200639,6
200640,2
200641,8
200642,2
200643,6
200644,8
200645,6
200646,6
200647,6
200648,6
200649,8
200650,8
200651,9
200652,6
200653,8
200654,2
200655,2
200656,2
200657,8
200658,2
200659,8
200660,6
200661,6
200662,2
200663,8
200664,6
200665,8
200666,6
200667,8
200668,8
200669,8
200670,6
200671,6
200672,6
200673,8
200674,8
200675,2
200676,8
200677,6
200678,8
200679,8
200680,6
200681,8
200682,6
200683,8
200684,8
200685,6
200686,2
200687,8
200688,2
200689,6
200690,8
200691,8
200692,6
200693,6
200694,8
200695,6
200696,6
200697,6
200698,6
200699,8
200700,6
200701,8
200702,6
200703,6
200704,6
200705,6
200706,2
200707,8
200708,8
200709,6
200710,2
200711,8
200712,6
200713,8
200714,2
200715,6
200716,8
200717,6
200718,9
200719,6
200720,6
200721,8
200722,8
200723,6
200724,8
200725,6
200726,6
200727,2
200728,6
200729,8
200730,2
200731,8
200732,6
200733,2
200734,8
200735,6
200736,8
200737,6
200738,6
200739,6
200740,8
200741,8
200742,6
200743,8
200744,6
200745,8
200746,8
200747,8
200748,8
200749,6
200750,8
200751,8
200752,6
200753,8
200754,6
200755,6
200756,6
200757,6
200758,6
200759,6
200760,2
200761,8
200762,6
200763,2
200764,2
200765,6
200766,2
200767,6
200768,6
200769,6
200770,6
200771,6
200772,6
200773,6
200774,2
200775,6
200776,8
200777,6
200778,8
200779,8
200780,6
200781,8
200782,8
200783,6
200784,8
200785,8
200786,8
200787,8
200788,6
200789,8
200790,8
200791,6
200792,8
200793,2
200794,8
200795,6
200796,2
200797,8
200798,6
200799,8
200800,8
200801,8
200802,8
200803,6
200804,8
200805,8
200806,2
200807,2
200808,8
200809,2
200810,6
200811,8
200812,8
200813,6
200814,8
200815,6
200816,2
200817,8
200818,4
200819,6
200820,2
200821,8
200822,8
200823,8
200824,2
200825,4
200826,8
200827,8
200828,8
200829,6
200830,8
200831,8
200832,8
200833,8
200834,6
200835,6
200836,8
200837,8
200838,6
200839,2
200840,6
200841,6
200842,6
200843,6
200844,6
200845,2
200846,6
200847,2
200848,6
200849,8
200850,8
200851,8
200852,6
200853,6
200854,6
200855,2
200856,6
200857,2
200858,2
200859,6
200860,6
200861,6
200862,2
200863,8
200864,6
200865,6
200866,2
200867,6
200868,8
200869,6
200870,2
200871,2
200872,6
200873,8
200874,2
200875,6
200876,8
200877,8
200878,6
200879,8
200880,8
200881,6
200882,8
200883,8
200884,8
200885,8
200886,6
200887,6
200888,6
200889,2
200890,8
200891,6
200892,6
200893,8
200894,8
200895,6
200896,6
200897,2
200898,6
200899,8
200900,6
200901,2
200902,8
200903,8
200904,8
200905,2
200906,8
200907,6
200908,6
200909,8
200910,8
200911,6
200912,6
200913,6
200914,6
200915,8
200916,6
200917,2
200918,6
200919,6
200920,2
200921,8
200922,8
200923,2
200924,8
200925,8
200926,2
200927,2
200928,6
200929,5
200930,2
200931,2
200932,8
200933,6
200934,6
200935,6
200936,8
200937,6
200938,8
200939,2
200940,6
200941,8
200942,9
200943,8
200944,2
200945,6
200946,8
200947,2
200948,6
200949,8
200950,6
200951,6
200952,8
200953,6
200954,6
200955,2
200956,6
200957,6
200958,8
200959,8
200960,6
200961,8
200962,8
200963,6
200964,2
200965,8
200966,8
200967,8
200968,6
200969,6
200970,6
200971,8
200972,6
200973,8
200974,8
200975,6
200976,8
200977,2
200978,8
200979,6
200980,9
200981,8
200982,8
200983,6
200984,2
200985,8
200986,2
200987,2
200988,8
200989,8
200990,8
200991,6
200992,6
200993,2
200994,2
200995,6
200996,2
200997,6
200998,6
200999,2
201000,6
201001,6
201002,6
201003,8
201004,6
201005,8
201006,2
201007,6
201008,6
201009,6
201010,6
201011,8
201012,6
201013,6
201014,8
201015,6
201016,2
201017,8
201018,8
201019,6
201020,2
201021,8
201022,8
201023,6
201024,2
201025,6
201026,8
201027,2
201028,8
201029,6
201030,2
201031,6
201032,6
201033,6
201034,2
201035,8
201036,2
201037,6
201038,8
201039,6
201040,8
201041,2
201042,8
201043,2
201044,8
201045,6
201046,2
201047,8
201048,6
201049,8
201050,6
201051,6
201052,8
201053,6
201054,6
201055,6
201056,6
201057,6
201058,2
201059,6
201060,8
201061,6
201062,8
201063,8
201064,2
201065,8
201066,8
201067,6
201068,6
